Day,Ozone,Solar.R,Wind,Temp
1,41,190,7.4,67
2,36,118,8,72
3,12,149,12.6,74
4,18,313,11.5,62
5,NA,NA,14.3,56
6,28,NA,14.9,66
7,23,299,8.6,65
8,19,99,13.8,59
9,8,19,20.1,61
10,NA,194,8.6,69
11,7,NA,6.9,74
12,16,256,9.7,69
13,11,290,9.2,66
14,14,274,10.9,68
15,18,65,13.2,58
16,14,334,11.5,64
17,34,307,12,66
18,6,78,18.4,57
19,30,322,11.5,68
20,11,44,9.7,62
21,1,8,9.7,59
22,11,320,16.6,73
23,4,25,9.7,61
24,32,92,12,61
25,NA,66,16.6,57
26,NA,266,14.9,58
27,NA,NA,8,57
28,23,13,12,67
29,45,252,14.9,81
30,115,223,5.7,79
31,37,279,7.4,76
