Acura Integra,non-USA,"$15,900",31
Acura Legend,non-USA,"$33,900",25
Audi 90,non-USA,"$29,100",26
Audi 100,non-USA,"$37,700",26
BMW 535i,non-USA,"$30,000",30
Buick Century,USA,"$15,700",31
Buick LeSabre,USA,"$20,800",28
Buick Roadmaster,USA,"$23,700",25
Buick Riviera,USA,"$26,300",27
Cadillac DeVille,USA,"$34,700",25
Cadillac Seville,USA,"$40,100",25
Chevrolet Cavalier,USA,"$13,400",36
Chevrolet Corsica,USA,"$11,400",34
Chevrolet Camaro,USA,"$15,100",28
Chevrolet Lumina,USA,"$15,900",29
Chevrolet Lumina_APV,USA,"$16,300",23
Chevrolet Astro,USA,"$16,600",20
Chevrolet Caprice,USA,"$18,800",26
Chevrolet Corvette,USA,"$38,000",25
Chrylser Concorde,USA,"$18,400",28
Chrysler LeBaron,USA,"$15,800",28
Chrysler Imperial,USA,"$29,500",26
Dodge Colt,USA,"$9,200",33
Dodge Shadow,USA,"$11,300",29
Dodge Spirit,USA,"$13,300",27
Dodge Caravan,USA,"$19,000",21
Dodge Dynasty,USA,"$15,600",27
Dodge Stealth,USA,"$25,800",24
Eagle Summit,USA,"$12,200",33
Eagle Vision,USA,"$19,300",28
Ford Festiva,USA,"$7,400",33
Ford Escort,USA,"$10,100",30
Ford Tempo,USA,"$11,300",27
Ford Mustang,USA,"$15,900",29
Ford Probe,USA,"$14,000",30
Ford Aerostar,USA,"$19,900",20
Ford Taurus,USA,"$20,200",30
Ford Crown_Victoria,USA,"$20,900",26
Geo Metro,non-USA,"$8,400",50
Geo Storm,non-USA,"$12,500",36
Honda Prelude,non-USA,"$19,800",31
Honda Civic,non-USA,"$12,100",46
Honda Accord,non-USA,"$17,500",31
Hyundai Excel,non-USA,"$8,000",33
Hyundai Elantra,non-USA,"$10,000",29
Hyundai Scoupe,non-USA,"$10,000",34
Hyundai Sonata,non-USA,"$13,900",27
Infiniti Q45,non-USA,"$47,900",22
Lexus ES300,non-USA,"$28,000",24
Lexus SC300,non-USA,"$35,200",23
Lincoln Continental,USA,"$34,300",26
Lincoln Town_Car,USA,"$36,100",26
Mazda 323,non-USA,"$8,300",37
Mazda Protege,non-USA,"$11,600",36
Mazda 626,non-USA,"$16,500",34
Mazda MPV,non-USA,"$19,100",24
Mazda RX-7,non-USA,"$32,500",25
Mercedes-Benz 190E,non-USA,"$31,900",29
Mercedes-Benz 300E,non-USA,"$61,900",25
Mercury Capri,USA,"$14,100",26
Mercury Cougar,USA,"$14,900",26
Mitsubishi Mirage,non-USA,"$10,300",33
Mitsubishi Diamante,non-USA,"$26,100",24
Nissan Sentra,non-USA,"$11,800",33
Nissan Altima,non-USA,"$15,700",30
Nissan Quest,non-USA,"$19,100",23
Nissan Maxima,non-USA,"$21,500",26
Oldsmobile Achieva,USA,"$13,500",31
Oldsmobile Cutlass_Ciera,USA,"$16,300",31
Oldsmobile Silhouette,USA,"$19,500",23
Oldsmobile Eighty-Eight,USA,"$20,700",28
Plymouth Laser,USA,"$14,400",30
Pontiac LeMans,USA,"$9,000",41
Pontiac Sunbird,USA,"$11,100",31
Pontiac Firebird,USA,"$17,700",28
Pontiac Grand_Prix,USA,"$18,500",27
Pontiac Bonneville,USA,"$24,400",28
Saab 900,non-USA,"$28,700",26
Saturn SL,USA,"$11,100",38
Subaru Justy,non-USA,"$8,400",37
Subaru Loyale,non-USA,"$10,900",30
Subaru Legacy,non-USA,"$19,500",30
Suzuki Swift,non-USA,"$8,600",43
Toyota Tercel,non-USA,"$9,800",37
Toyota Celica,non-USA,"$18,400",32
Toyota Camry,non-USA,"$18,200",29
Toyota Previa,non-USA,"$22,700",22
Volkswagen Fox,non-USA,"$9,100",33
Volkswagen Eurovan,non-USA,"$19,700",21
Volkswagen Passat,non-USA,"$20,000",30
Volkswagen Corrado,non-USA,"$23,300",25
Volvo 240,non-USA,"$22,700",28
Volvo 850,non-USA,"$26,700",28
