rank,item,value
1,Refined petroleum,51540
2,Integrated circuits,49126
3,Cars,42484
4,Passenger and Cargo Ships,29010
5,LCDs,23978
6,Car parts,20496
7,Broadcasting Equipment,15443
8,Broadcasting Accessories,10532
9,Telephones,10417
10,Cyclic Hydrocarbons,8791
11,Special Purpose Ships,8117
12,Computers,6340
13,Hot-Rolled Iron,6288
14,Coated Flat-Rolled Iron,5654
15,Semiconductor devices,5210
16,Large Construction Vehicles,5091
17,Polycarboxylic acids,4833
18,Polyacetals,4743
19,Machinery Having Individual Functions,4621
20,Tires,4614
